"ID","body","CreationDate","Score","AnswerCount"
"8699195","<pre><code>import java.util.HashMap;
import java.io.*;
import java.util.*;
public class Fegan implements Comparable{
HashMap&lt;String, Integer&gt; cart = new HashMap&lt;String, Integer&gt;();
List list = new ArrayList&lt;FoodItems&gt;();
int x =0;
public void addToCart(FoodItems f)
{
    cart.put(f.name, f.valueOfFood);
}
public String display(FoodItems f)
{
    return(f.name + "" costs "" + f.valueOfFood);
}
public void addToList(FoodItems f)
{
    //FoodItems temp = (FoodItems) f;
    list.add(f);
}
public int compareTo(Object o)
{
    //FoodItems temp = (FoodItems) o;
    if(this.x == ((FoodItems)o).valueOfFood)
        return 0;
    else if (this.x &lt;((FoodItems)o).valueOfFood)
        return 1;
    else 
        return -1;
}
public void sortMap(List list)
{
    for(int i =0; i&lt; list.size(); i++)
    {
        FoodItems temp = (FoodItems) list.get(i);
        cart.put(temp.name, temp.valueOfItem);

    }
}
}
</code></pre>

<hr>

<pre><code>import java.util.Collections;
import java.util.HashMap;
import java.util.Iterator;
import java.io.*;
import java.util.*;
public class Test {
public static void main(String [] args)
{
    HashMap&lt;String, Integer&gt; cart = new HashMap&lt;String, Integer&gt;();
    FoodItems firts = new FoodItems(""Chocolate"" , 50);
    FoodItems second = new FoodItems(""Juice"", 79);
    FoodItems third = new FoodItems(""Apple"", 200);
    FoodItems forth = new FoodItems(""Orange"", 300);
    FoodItems fifth = new FoodItems(""Milk"" , 400);
    ArrayList items = new ArrayList();
    items.add(firts);
    items.add(second);
    items.add(third);
    items.add(forth);
    items.add(fifth);
    Collections.sort(items);
    Iterator itr = items.iterator();
    Fegan myFegan = new Fegan();
    myFegan.sortMap(items);

    while(itr.hasNext()){
        Object element = itr.next();
        System.out.println(element + ""
"");
    }
}
}
</code></pre>

<p>Why it is writing:</p>

<pre><code>Exception in thread ""main"" java.lang.ClassCastException: FoodItems cannot be cast to java.lang.Comparable
at java.util.ComparableTimSort.countRunAndMakeAscending(Unknown Source)
at java.util.ComparableTimSort.sort(Unknown Source)
at java.util.ComparableTimSort.sort(Unknown Source)
at java.util.Arrays.sort(Unknown Source)
at java.util.Collections.sort(Unknown Source)
at Test.main(Test.java:21)
</code></pre>
","2012-01-02","33","2"
"33175848","<p>I am trying to complete problem 25 on the project euler website but I am getting the Java heap space error. How do i go about solving this?</p>

<pre><code>import java.util.ArrayList;
public class Problem25 {
    public static void main(String[] args){
        int a = 1;
        int b = 1;
        int c;
        ArrayList&lt;Integer&gt; nums = new ArrayList&lt;Integer&gt;();
        nums.add(1);
        nums.add(1);
        for(int i = 2; ;i++){
            c = a+b;
            nums.add(c);
            if(nums.get(i).toString().length() == 1000)
                System.out.print(nums.get(i));
            a++;
            b++;
        }
    }
}
</code></pre>
","2015-10-16","0","2"
"41253457","<p>I'm given a task to read data from a text file and save it to a Set. Text file represents an imaginary bill containing certain item description and it's price, quantity and total sum. I only need item's name and price. Text file looks like this: </p>

<pre><code>Item_name   Item_price(float value with comma as format symbol)  Quantity(int)  Total(float)
Item_name   Item_price(float value with comma as format symbol)  Quantity(int)  Total(float)
</code></pre>

<p>(Text file contains multiple items). Also, items sometimes have numbers in their name, eg. LG 4k TV 1000U).</p>

<p>I tried to solve it like this: </p>

<pre><code>private void readAndSave(Path file) {
    try (BufferedReader br = new BufferedReader(new InputStreamReader(
             new BufferedInputStream(new FileInputStream(file.toString()))))) {


        Set&lt;Item&gt; items = new TreeSet&lt;&gt;();
        String line;
        while ((line = br.readLine()) != null) {


            float price = 0, numb;
            boolean priceFound = false;
            String name = """";
            String[] lineElements;
            lineElements = line.split("" "");

            for(String temp: lineElements) {
                if((numb = getNumberRepresentation(temp)) != -1) {
                    if(!priceFound) {
                        price = numb;
                        priceFound = true;
                    }
                    break;
                }

                name += temp + "" "";
            }
            items.add(new Item(name, price));

        }
    } catch (FileNotFoundException fe) {
        System.out.println(""File not found!"");
    } catch (IOException e) {
        System.out.println(""Error while opening/writing files!"");
    }

}
</code></pre>

<p>Class <code>Item</code> contains two variables(String, float) representing name and price of an item and extends <code>Comparable</code>.</p>

<p>And here is <code>getNumberRepresentation</code> method</p>

<pre><code>private float getNumberRepresentation(String temp) {
    try {

        DecimalFormatSymbols symbols = new DecimalFormatSymbols();
        symbols.setDecimalSeparator(',');
        DecimalFormat format = new DecimalFormat(""0.##"");
        format.setDecimalFormatSymbols(symbols);
        return format.parse(temp).floatValue();

    } catch(Exception e) {
        return -1;
    }
}
</code></pre>

<p>I've tried to use the logic that, if a price is found, then the name must also be already found and all other Strings from the line can be skipped. Problem here is that sometimes I get a number from an item's name as price(1000U, from previous example). Is there a better and more efficient solution to this problem?     </p>

<p><strong>Edit: File sample</strong></p>

<p><code>Escape from Paradise City                                   70,00  1135   79450,00 
 Sony ITC60, TV cabel                                      111,26   111    12349,86</code></p>
","2016-12-21","0","1"
"33190830","<p>I am trying to make a counter so that as long as the person keeps on responding yes during the loop, it keeps counting and then after each response says how many times already the person has said yes (y) in this case. </p>

<p>Here is the code so far:</p>

<pre><code>/**
* Write a description of class dummygameclass here.
* 
* @author (your name) 
 * @version (a version number or a date)
 */

   import java.util.*;
          public class dummygameclass
    {
    // instance variables - replace the example below with your own
  public static void main(String [] args) throws InterruptedException{

   Scanner reader = new Scanner(System.in);

   int i1, i2, i3, i4, i5, i6, i7, i8, i9;
   String s1, s2, s3, s4, s5, s6, s7, s8, s9;
 boolean loop = true;
            while(loop=true){
   System.out.println(""You walk up the stairs, but you shockingly see yourself back in the same room, same position, climb again?"");
       s3 = reader.next();
       if(s3.equals(""y"")){
            System.out.println(""You walk up the stairs, but you shockingly see yourself back in the same room, same position, climb again?"");
       s3 = reader.next();
       int counter = 0;
       counter++;
       System.out.println(counter);

        }else if(s3.equals(""n"")){

            System.out.println(""You have chosen not to climb the staircase."");
            loop=false;
            break;

        }


  }
  }
  }
</code></pre>

<p>But this doesnt do me any good, what can I do?  The counter just either doesn't show anything or a '1' but nothing else?</p>
","2015-10-17","0","4"
"33183011","<p>I have this assignment due within 40 minutes from now... I submit it to this online thing and it tests the methods etc and I'm getting this error. I know what out of bounds is, but I don't understand where it is occurring in the code it specifies:</p>

<pre><code>public int countNeighbours(int x, int y) {
    int neighbourCount = 0;


    for (int i = 0; i &lt; cells.length; i++) {
        for (int j = 0; j &lt; cells.length; j++) {

            if ((cells[x][y].isAlive() == true) &amp;&amp; (x &lt; cells.length) &amp;&amp; (y &lt; cells.length) &amp;&amp; (x &gt;= 0)
                    &amp;&amp; (y &gt;= 0)) {

                neighbourCount++;
            }

            else if ((cells[x][y].isAlive() == false) &amp;&amp; (x &lt; cells.length) &amp;&amp; (y &lt; cells.length) &amp;&amp; (x &gt;= 0)
                    &amp;&amp; (y &gt;= 0)) {
                neighbourCount--;
            }

            else if (!(x &lt; cells.length) || !(y &lt; cells.length) || !(x &gt;= 0) || !(y &gt;= 0)) {
                return 0;
            }

            else {
                neighbourCount = neighbourCount;
            }

        }
    }
    return neighbourCount;
}
</code></pre>

<p>I don't know if it actually even works, I had a different code for this, but had issues with it.</p>

<p>Anyway, the online thing basically tests for an invalid coordinate and makes sure my code returns the correct value for an invalid coordinate (i.e. returns 0). </p>

<p>So I don't know why there is an out of bounds error, I feel like I have specified the bounds completely.</p>

<p>I also have a sub question, it also fails a test where the cell has 8 neighbours but my code returns -9. So obviously it's only going through the one which returns neighbourCount-- but I really don't understand why. Have I missed something in the specifications? Or perhaps it's related to a completely different part of my code. </p>
","2015-10-17","1","1"
"49437157","<p>Exception in thread ""main"" java.lang.NumberFormatException: For input string: ""1001""</p>

<p>I dont understand why this code throws exception.</p>

<p><code>1001   elma    87</code> --> This is the text file and I'm sure this is a number.</p>

<pre><code>public class Food {
    public String[][] foodArray = new String[1000][100];
    public int sayac = 0;

    public void readText() {
      try (Scanner sc = new Scanner(new BufferedReader(new FileReader(""food.txt"")))) {
        while (sc.hasNextLine()) {
            String bilgiler = sc.nextLine().trim();
            foodArray[sayac] = bilgiler.split(""	"");
            System.out.println(Integer.parseInt(foodArray[sayac][0]));
            sayac++;
        }
    } catch (FileNotFoundException e) {
        e.printStackTrace();
    }
}
</code></pre>

<p>}</p>

<pre><code>Exception in thread ""main"" java.lang.NumberFormatException: For input string: ""1001""
at java.lang.NumberFormatException.forInputString(NumberFormatException.java:65)
at java.lang.Integer.parseInt(Integer.java:580)
at java.lang.Integer.parseInt(Integer.java:615)
at Food.readText(Food.java:13)
at Main.main(Main.java:11)
</code></pre>
","2018-03-22","0","3"
"33190999","<p>Am writing a program that allows two Superheros to fight. The first class has compiled correctly, however the main is not. I am getting the same errors on line 9 and 18  expected. Am hoping someone could help me. </p>

<p>The Fight Class:</p>

<pre><code>    public class Fight {

    public static void main (String [] args) {

        Superhero Spiderman = new Superhero();
        Superhero TheHumanTorch = new Superhero(21);
    }

    public TheHumanTorch fight(Spiderman){
    System.out.Println(TheHumanTorch);
    }

    private void powerUp(int amount) {
    int amount = 100;
    Spiderman Strength = Strength + amount; 
    }

    public TheHumanTorch fight(Spiderman){
    System.out.Println(Spiderman);
    }

}
</code></pre>

<p>The Superhero Class:</p>

<pre><code>public class Superhero { 
    public String Name; 
    private int Strength; 

    public Superhero(String n,int s) { 
        Name = n; 
        Strength = s; 
    } 

    public Superhero(String n) { 
        Name = n; 
        Strength = 10; 
    } 

    private void PowerUp(int amount) { 
        Strength = Strength + amount; 
    } 

    public Superhero fight(Superhero opponet) { 
        if (this.Strength &gt; opponet.Strength) { 
            return this; 
        } else { 
            return opponet; 
        } 
    } 

    public String toString() {  
        return ""Superhero""; 
    } 
}
</code></pre>
","2015-10-17","-2","1"
"33183965","<p>I am new to programming and i used following code to run a timer. When this method is called with <code>boolean run = true</code>it is working fine but not stops when <code>boolean run = false</code>. How can i solve this ?</p>

<pre><code>    private void countTime(boolean run){
        new Thread(){
            public void run(){
                int mm = 00;
                int hh = 00;
                while(run){
                    for (int i=1 ;i&lt;61 ;i++){
                        try{
                            int ss = i;
                            Thread.sleep(1000);
                            if (ss == 60){
                                mm += 1;
                                if (mm == 60){
                                }
                            }
                            if (mm == 60){
                                hh += 1;
                                mm = 0;
                            }
                            if (ss &lt; 10){
                                lblClock.setText(Integer.toString(hh) + "":"" + 
                                        Integer.toString(mm) + "":"" + ""0"" 
                                        + (Integer.toString(ss))
                                );
                            } else {
                                lblClock.setText(Integer.toString(hh) + "":"" + 
                                        Integer.toString(mm) + "":"" 
                                        + (Integer.toString(ss))
                                );
                            }
                        } catch (InterruptedException ex) {
                        }
                    }
                }
            }
        }.start();
}
</code></pre>
","2015-10-17","1","3"
"16651972","<p>I have received a Java library that has a class with the following function.   I have never used this type of function before so I am not sure what it is called or how to use it.</p>

<pre><code>class SomeTree {

      public void setNode (Node... nodes) {
      }  
   }
</code></pre>

<p>Correct me if I am wrong, but the method will accept multiple arguments, right ?
If I don't know the number of arguments in advance, how will I call it ?</p>

<p>Suppose I have a ""Node[ ] nodeArray"" to pass to the setNode().   How would I do that ?</p>
","2013-05-20","0","5"
"49429867","<p>I am trying to write a Cryptogram game. In which the user will have to guess a quote. I print out the quote in form of underscores. for example if the quote is ""to be or not to be"" i will print ""_ _  _ _  _ _ _  _ _  _ <em>"". The user will input a character and a position that wants to put the character. If for example the player input the letter ""r"" on the position 0, we will have the following output ""r</em>  _ _  _ _  _ _ r  _ _"".
My problem is that each time i ask the user to guess a letter the previous guess of the player is not displayed. My code is the following: </p>

<pre><code>public  class Cryptogram 
{ //get letter and delete letter methods? 
    //Where do we generate the crypto mapping

     String phrase;
     Integer freq;
    // ArrayList&lt;Character&gt; guess; 
     //char guess[];

    /**
     * read the file
     * return a random line 
     * @throws IOException 
     * */

    public Cryptogram ()
    {
        try 
        {
            phrase = readCryptogram();
            //guess = new ArrayList&lt;Character&gt;();   
            //char guess[] = new char [phrase.length()];

        } catch (IOException e) {
            // TODO Auto-generated catch block
            e.printStackTrace();
        }
        freq = 0;

    }

    public String readCryptogram() throws IOException 
    {
        FileInputStream fs= new FileInputStream(""QUOTES.txt"");
        BufferedReader br = new BufferedReader(new InputStreamReader(fs));
        ArrayList&lt;String&gt; array = new ArrayList&lt;&gt;();
        String line;

        while((line = br.readLine()) != null)
              array.add(line);
        Random rand = new Random();
        int randomIndex = rand.nextInt(array.size());
        //int smth = array.size();
        //guess = new ArrayList&lt;Character&gt;(array.size());
        return array.get(randomIndex);                                                            
      }
        public void updateUnderscores(int posit, char lettr)
        {
            char guess[] = new char [phrase.length()];
//          for (int k=0; k&lt;phrase.length(); k++)
//          {
//              guess[k] = 0;
//          }

             //guess = new char [phrase.length()];
            //System.out.print(guess.length);
            char  quote[] = phrase.toCharArray();
            for (int c = 0; c&lt;quote.length; c++)
            {
                quote[c] = phrase.charAt(c);
            }

            char let = quote[posit];    
            for (int i=0; i&lt;quote.length; i++)
            {
                if (Character.isAlphabetic(quote[i]))
                {
                    if (let==quote[i])
                    {
                        //System.out.print(lettr);
                        guess[i] = lettr;
                        //guess.add(i, lettr);
                        //System.out.println(guess);


                    }

                    else System.out.print(""_  "");   
                    //guess[i] = ' _';

                }
                else System.out.print(""  "");
            }



            //copyGuessedCr(guess);
            /*System.out.print(""Guess arr: "" );         
            for (int j=0; j&lt;phrase.length(); j++)
            {
                System.out.print(guess[j]);
            }*/

       }

        /*public char[] copyGuessedCr(char guess[])
        {
            char gs[] = new char [phrase.length()];
            System.out.print(""Guess arr: "" );           
            for (int j=0; j&lt;phrase.length(); j++)
            {
                if (guess[j]!=0)
                gs[j] = guess[j];
            }
            return gs;
        }

        public void printGuess()
        {
            char g[] = ;
            System.out.print(""Guess arr: "" );           
            for (int j=0; j&lt;phrase.length(); j++)
            {
                System.out.print();
            }
        }*/

        public String getCryptogram()
        {

            return phrase;          
        }

        public void getFrequencies()
        {
            String qt = phrase;
            int cols = qt.length();
            int rows = 2;
            Object [][] arr =  new Object [cols][rows];


            qt=qt.toLowerCase(); //converting the string into lowercase
            int l=qt.length(); //finding the length of the string           
            char ch;

            /* Counting frequency of alphabets begins below */
            int count=0;
            for(char i='a'; i&lt;='z'; i++)
                {
                    count = 0;
                    for(int j=0; j&lt;l; j++)
                    {
                        ch=qt.charAt(j); //extracting characters of the string one by one
                        if(ch==i) //first checking the whole string for 'a', then 'b' and so on
                          count++; //increasing count of those aplhabets which are present in the string
                          //System.out.println(i+""		""+count);
                    }
//                  if(count!=0)//printing only those alphabets whose count is not '0'
//                  {
//                      //System.out.println(i+""		""+count);
//                      
//                  }
                    for (int k=0; k&lt;l; k++)
                    {
                        if (qt.charAt(k) == i)
                        {

                            arr[k][1] = count; 

                        }
                    }                   
                }


            for (int i=0; i&lt;cols; i++)
            {

                if (Character.isAlphabetic(qt.charAt(i)))
                {
                    arr[i][1] = ""_ "";
                }
                else arr[i][1] = ""   "";
            }

            for (int i=0; i&lt;rows; i++)
            {
                for (int j=0; j&lt;cols; j++)
                {
                    System.out.print(arr[j][i]);

                }
                System.out.println(""
"");               
            }
        }

public class Main   
{   
    public static void main(String[] args) throws IOException   
    {
        Game gObj = new Game();
        players pl = new players();
        Cryptogram crObj = new Cryptogram();
        Scanner scanner = new Scanner(System.in);



        System.out.println(""Type your name: "" + ""
"");
        String name = scanner.next();

        pl.findPlayer(name);


        System.out.println(""Do you want to play? Y / N "");

        char ans = scanner.next().charAt(0);


        if (ans == 'Y')
        {           
            System.out.println(""Cryptogram is out: ""+crObj.getCryptogram());
            crObj.getFrequencies();

        }
        char letter;
        int position = -2;
        while (position != -1)
        {
            System.out.println(""
"" + ""Choose a position to fill a letter in: "");
            position = scanner.nextInt();
            System.out.println(""Position "" + position);

            System.out.println(""
"" + ""Choose a letter: "");
            letter = scanner.next().charAt(0);
            crObj.updateUnderscores(position, letter);


        }   

        scanner.close();

    }


}
</code></pre>
","2018-03-22","-1","1"
